+1.000000e+001	   +4.806952e+001
+2.200100e+001	   +6.513730e+000
+3.400200e+001	   -2.893953e+001
+4.600300e+001	   -5.879052e+001
+5.800400e+001	   -8.668469e+001
+7.000500e+001	   -1.142581e+002
+8.200600e+001	   -1.390576e+002
+9.400700e+001	   -1.636304e+002
+1.060080e+002	   -1.902381e+002
+1.180090e+002	   -1.785386e+001
+1.300100e+002	   -5.535190e+001
+1.420110e+002	   -7.850636e+001
+1.540120e+002	   -1.042251e+002
+1.660130e+002	   -1.278230e+002
+1.780140e+002	   -1.489087e+002
+1.900150e+002	   -1.732355e+002
+2.020160e+002	   -1.957733e+002
+2.140170e+002	   -2.185119e+002
+2.260180e+002	   -2.434152e+002
+2.380190e+002	   -2.602352e+002
+2.500200e+002	   -4.396491e+002
+2.620210e+002	   -4.829792e+002
+2.740220e+002	   -5.140421e+002
+2.860230e+002	   -5.359995e+002
+2.980240e+002	   -5.604734e+002
+3.100250e+002	   -5.829857e+002
+3.220260e+002	   -6.069367e+002
+3.340270e+002	   -6.274390e+002
+3.460280e+002	   -6.528835e+002
+3.580290e+002	   -6.636237e+002
+3.700300e+002	   -5.359916e+002
+3.820310e+002	   -5.345839e+002
+3.940320e+002	   -5.624813e+002
+4.060330e+002	   -5.841610e+002
+4.180340e+002	   -5.990278e+002
+4.300350e+002	   -6.293849e+002
+4.420360e+002	   -6.504755e+002
+4.540370e+002	   -6.712828e+002
+4.660380e+002	   -5.147968e+002
+4.780390e+002	   -5.411067e+002
+4.900400e+002	   -5.681241e+002
+5.020410e+002	   -7.020292e+002
+5.140420e+002	   -7.928240e+002
+5.260430e+002	   -8.151140e+002
+5.380440e+002	   -8.373103e+002
+5.500450e+002	   -8.606157e+002
+5.620460e+002	   -8.836082e+002
+5.740470e+002	   -9.064703e+002
+5.860480e+002	   -9.293400e+002
+5.980490e+002	   -9.529388e+002
+6.100500e+002	   -9.755424e+002
+6.220510e+002	   -9.976747e+002
+6.340520e+002	   -1.020815e+003
+6.460530e+002	   -1.043111e+003
+6.580540e+002	   -1.066151e+003
+6.700551e+002	   -1.088923e+003
+6.820560e+002	   -1.111682e+003
+6.940570e+002	   -1.134451e+003
+7.060580e+002	   -1.157265e+003
+7.180590e+002	   -1.180048e+003
+7.300601e+002	   -1.202836e+003
+7.420610e+002	   -1.225635e+003
+7.540620e+002	   -1.248442e+003
+7.660630e+002	   -1.271222e+003
+7.780640e+002	   -1.294005e+003
+7.900650e+002	   -1.316817e+003
+8.020660e+002	   -1.339286e+003
+8.140670e+002	   -1.362068e+003
+8.260681e+002	   -1.385179e+003
+8.380690e+002	   -1.407962e+003
+8.500700e+002	   -1.430759e+003
+8.620710e+002	   -1.453542e+003
+8.740720e+002	   -1.476331e+003
+8.860731e+002	   -1.499121e+003
+8.980740e+002	   -1.521611e+003
+9.100750e+002	   -1.544679e+003
+9.220760e+002	   -1.567479e+003
+9.340770e+002	   -1.589934e+003
+9.460781e+002	   -1.613043e+003
+9.580790e+002	   -1.635822e+003
